,label,tweet
0,0,@united UA5396 can wait for me. I'm on the ground trying to get to the gate after we were moved to B. This is crap.
1,0,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.
2,0,"@united Oh, we are sure it's not planned, but it occurs absolutely consistently, it's usually the only YYJ flight that's Cancelled Flightled daily."
3,2,Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu
4,2,Found the self driving car!! /IWo3QSvdu2
5,0,@united arrived in YYZ to take our flight to Taiwan. Reservation missing our ticket numbers. Slow agent Sukhdeep caused us to miss our flt.
6,0,Driverless cars ? What's the point ?
7,4,how can you not love Obama? he makes jokes about himself.
8,4,Safeway is very rock n roll tonight
9,2,RT @jquery: The Ultimate jQuery List - http://jquerylist.com/
10,2,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.
11,0,History exam studying ugh
12,2, Missed this. each is 'newer generation'. I'd start w allegra then go claritin then zyrtec. I don't envy you!
13,0,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!
14,2,I hope the girl at work  buys my Kindle2
15,4,@aparajuli good luck to you 
16,0,needs someone to explain lambda calculus to him! :(
17,0,@unnitallman yeah looks like that only! &quot;busy&quot; is fucking me so yeah.. its my &quot;GF&quot; 
18,4,Loves twitter
19,0,@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal
20,4,@united Thank you Margo at Houston's Bush Intercontinental for getting me home earlier.
21,0,I donâ€™t want either! RT @clayhebert: We might get pilotless planes before driverless cars - http://t.co/y4YOxaqI
22,4,"Super cool: ""@google: The next stop on the road to a self-driving car http://t.co/x4rem8zeKy http://t.co/UPdUUaTTb6"""
23,4,@ontheMAPP DITTO! not as good as the Nirvana Sandwiches 
24,2,waiting in line at safeway.
25,4,"OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good "
26,2,There's a google self-driving car parked next to me. Shall I ask for a ride?
27,0,Aw fuck - this night ended badly 
28,2,#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd
29,4,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl
30,4,am loving new malcolm gladwell book - outliers
31,4,"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it."
32,2,12 Gift Ideas For The Apple Lover Who Has Everything /0RTcyLOsAD  #technology
33,2,So the #Coachella2015 diet begins /Pm0vK2fBG5
34,2,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
35,2,got a new pair of nike shoes. pics up later
